,boro,housenumber,streetname,zip,address,long,lat
11080,MANHATTAN,520,EAST 85 STREET,10028,"520 EAST 85 STREET, NEW YORK, NEW YORK",,
11081,MANHATTAN,521A,EAST 85 STREET,10028,"521A EAST 85 STREET, NEW YORK, NEW YORK",,
11082,MANHATTAN,521B,EAST 85 STREET,10028,"521B EAST 85 STREET, NEW YORK, NEW YORK",,
11083,MANHATTAN,522,EAST 85 STREET,10028,"522 EAST 85 STREET, NEW YORK, NEW YORK",,
11084,MANHATTAN,523,EAST 85 STREET,10028,"523 EAST 85 STREET, NEW YORK, NEW YORK",,
11085,MANHATTAN,523B,EAST 85 STREET,10028,"523B EAST 85 STREET, NEW YORK, NEW YORK",,
11086,MANHATTAN,528,EAST 85 STREET,10028,"528 EAST 85 STREET, NEW YORK, NEW YORK",,
11087,MANHATTAN,529,EAST 85 STREET,10028,"529 EAST 85 STREET, NEW YORK, NEW YORK",,
11088,MANHATTAN,530,EAST 85 STREET,10028,"530 EAST 85 STREET, NEW YORK, NEW YORK",,
11089,MANHATTAN,532,EAST 85 STREET,10028,"532 EAST 85 STREET, NEW YORK, NEW YORK",,
11090,MANHATTAN,536,EAST 85 STREET,10028,"536 EAST 85 STREET, NEW YORK, NEW YORK",,
11091,MANHATTAN,538,EAST 85 STREET,10028,"538 EAST 85 STREET, NEW YORK, NEW YORK",,
11092,MANHATTAN,7,EAST 85 STREET,10028,"7 EAST 85 STREET, NEW YORK, NEW YORK",,
11093,MANHATTAN,103,EAST 86 STREET,10028,"103 EAST 86 STREET, NEW YORK, NEW YORK",,
11094,MANHATTAN,108,EAST 86 STREET,10028,"108 EAST 86 STREET, NEW YORK, NEW YORK",,
11095,MANHATTAN,11,EAST 86 STREET,10028,"11 EAST 86 STREET, NEW YORK, NEW YORK",,
11096,MANHATTAN,115,EAST 86 STREET,10028,"115 EAST 86 STREET, NEW YORK, NEW YORK",,
11097,MANHATTAN,120,EAST 86 STREET,10028,"120 EAST 86 STREET, NEW YORK, NEW YORK",,
11098,MANHATTAN,128,EAST 86 STREET,10028,"128 EAST 86 STREET, NEW YORK, NEW YORK",,
11099,MANHATTAN,130,EAST 86 STREET,10028,"130 EAST 86 STREET, NEW YORK, NEW YORK",,
11100,MANHATTAN,140,EAST 86 STREET,10028,"140 EAST 86 STREET, NEW YORK, NEW YORK",,
11101,MANHATTAN,150,EAST 86 STREET,10028,"150 EAST 86 STREET, NEW YORK, NEW YORK",,
11102,MANHATTAN,151,EAST 86 STREET,10028,"151 EAST 86 STREET, NEW YORK, NEW YORK",,
11103,MANHATTAN,2,EAST 86 STREET,10028,"2 EAST 86 STREET, NEW YORK, NEW YORK",,
11104,MANHATTAN,203,EAST 86 STREET,10028,"203 EAST 86 STREET, NEW YORK, NEW YORK",,
11105,MANHATTAN,210,EAST 86 STREET,10028,"210 EAST 86 STREET, NEW YORK, NEW YORK",,
11106,MANHATTAN,217,EAST 86 STREET,10028,"217 EAST 86 STREET, NEW YORK, NEW YORK",,
11107,MANHATTAN,222,EAST 86 STREET,10028,"222 EAST 86 STREET, NEW YORK, NEW YORK",,
11108,MANHATTAN,223,EAST 86 STREET,10028,"223 EAST 86 STREET, NEW YORK, NEW YORK",,
11109,MANHATTAN,225,EAST 86 STREET,10028,"225 EAST 86 STREET, NEW YORK, NEW YORK",,
11110,MANHATTAN,230,EAST 86 STREET,10028,"230 EAST 86 STREET, NEW YORK, NEW YORK",,
11111,MANHATTAN,231,EAST 86 STREET,10028,"231 EAST 86 STREET, NEW YORK, NEW YORK",,
11112,MANHATTAN,237,EAST 86 STREET,10028,"237 EAST 86 STREET, NEW YORK, NEW YORK",,
11113,MANHATTAN,330,EAST 52 STREET,10022,"330 EAST 52 STREET, NEW YORK, NEW YORK",,
11114,MANHATTAN,331,EAST 52 STREET,10022,"331 EAST 52 STREET, NEW YORK, NEW YORK",,
11115,MANHATTAN,333,EAST 52 STREET,10022,"333 EAST 52 STREET, NEW YORK, NEW YORK",,
11116,MANHATTAN,335,EAST 52 STREET,10022,"335 EAST 52 STREET, NEW YORK, NEW YORK",,
11117,MANHATTAN,340,EAST 52 STREET,10022,"340 EAST 52 STREET, NEW YORK, NEW YORK",,
11118,MANHATTAN,347,EAST 52 STREET,10022,"347 EAST 52 STREET, NEW YORK, NEW YORK",,
11119,MANHATTAN,410,EAST 52 STREET,10022,"410 EAST 52 STREET, NEW YORK, NEW YORK",,
11120,MANHATTAN,414,EAST 52 STREET,10022,"414 EAST 52 STREET, NEW YORK, NEW YORK",,
11121,MANHATTAN,415,EAST 52 STREET,10022,"415 EAST 52 STREET, NEW YORK, NEW YORK",,
11122,MANHATTAN,424,EAST 52 STREET,10022,"424 EAST 52 STREET, NEW YORK, NEW YORK",,
11123,MANHATTAN,425,EAST 52 STREET,10022,"425 EAST 52 STREET, NEW YORK, NEW YORK",,
11124,MANHATTAN,434,EAST 52 STREET,10022,"434 EAST 52 STREET, NEW YORK, NEW YORK",,
11125,MANHATTAN,435,EAST 52 STREET,10022,"435 EAST 52 STREET, NEW YORK, NEW YORK",,
11126,MANHATTAN,444,EAST 52 STREET,10022,"444 EAST 52 STREET, NEW YORK, NEW YORK",,
11127,MANHATTAN,450,EAST 52 STREET,10022,"450 EAST 52 STREET, NEW YORK, NEW YORK",,
11128,MANHATTAN,14,EAST 53 STREET,10022,"14 EAST 53 STREET, NEW YORK, NEW YORK",,
11129,MANHATTAN,16,EAST 53 STREET,10022,"16 EAST 53 STREET, NEW YORK, NEW YORK",,
11130,MANHATTAN,209,EAST 53 STREET,10022,"209 EAST 53 STREET, NEW YORK, NEW YORK",,
11131,MANHATTAN,220,EAST 53 STREET,10022,"220 EAST 53 STREET, NEW YORK, NEW YORK",,
11132,MANHATTAN,222,EAST 53 STREET,10022,"222 EAST 53 STREET, NEW YORK, NEW YORK",,
11133,MANHATTAN,224,EAST 53 STREET,10022,"224 EAST 53 STREET, NEW YORK, NEW YORK",,
11134,MANHATTAN,225,EAST 53 STREET,10022,"225 EAST 53 STREET, NEW YORK, NEW YORK",,
11135,MANHATTAN,226,EAST 53 STREET,10022,"226 EAST 53 STREET, NEW YORK, NEW YORK",,
11136,MANHATTAN,229,EAST 53 STREET,10022,"229 EAST 53 STREET, NEW YORK, NEW YORK",,
11137,MANHATTAN,231,EAST 53 STREET,10022,"231 EAST 53 STREET, NEW YORK, NEW YORK",,
11138,MANHATTAN,232,EAST 53 STREET,10022,"232 EAST 53 STREET, NEW YORK, NEW YORK",,
11139,MANHATTAN,234,EAST 53 STREET,10022,"234 EAST 53 STREET, NEW YORK, NEW YORK",,
